Track Names,Artist Names
Hard On Yourself,"Charlie Puth, blackbear"
u love u (with Tate McRae),"blackbear, Tate McRae"
my exs best friend (with blackbear),"Machine Gun Kelly, blackbear"
me & ur ghost,blackbear
@ my worst,blackbear
Memory,"Kane Brown, blackbear"
idfc,blackbear
queen of broken hearts,blackbear
do re mi,blackbear
hot girl bummer,blackbear
I feel bad,blackbear
half alive,blackbear
clown (with Trevor Daniel),"blackbear, Trevor Daniel"
if I were u (with Lauv),"blackbear, Lauv"
