Track Names,Artist Names
Ferrari,Coyote Kisses
Its Not Over,Nova & Galardo
2 Phút Hơn - KAIZ Remix,"Pháo, KAIZ"
Heart Afire,"STRIX, Defqwop"
Criminals,F.O.O.L
Ena,Hinkik
Surrender (feat. Anna Yvette) - MorganJ Remix,"MorganJ, Etta Matters, Jakko, Kenshin, Zex, Anna Yvette"
Realms,"Hinkik, A Himitsu"
Outbreaker,Hinkik
Time Leaper,Hinkik
Pagoda,"Xomu, Amidst"
