Track Names,Artist Names
Redo,Amidst
Monsters In My Head,"LIZOT, BRONSN"
Hard to Forget,"Marc Benjamin, Galwaro, Julia Viktoria"
Change,"hayve, Skyelle"
Close Eyes,DVRST
Melody,Sigala
Back Again,Archie
Sakura 2000,Capturez
Heartbreaker,"BÔN, Sofuu"
Buzzard,"NeoTune!, Hermax"
Dead,"Geoxor, SVRGE"
Highscore,"Panda Eyes, Teminite"
Bubble,Raven & Kreyn
